"FIPS","Qualifying Name","File identification","State Postal Abbreviation","Summary Level","Geographic Component","Logical Record Number","US","Census Region","Census Division","State (Census Code)","State (FIPS Code)","County of current residence","County Subdivision (FIPS)","Place (FIPS Code)","Census Tract","Block Group","Consolidated City","American Indian Area/AlaskaNative Area/ Hawaiian Home Land(Census)","American Indian Area/AlaskaNative Area/ Hawaiian Home Land(FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian TribalSubdivision (Census)","American Indian TribalSubdivision (FIPS)","Alaska Native RegionalCorporation (FIPS)","Metropolitan and MicropolitanStatistical Area","Combined Statistical Area","Metropolitan Statistical Area-Metropolitan Division","Metropolitan Area Central City","Metropolitan/MicropolitanIndicator Flag","New England City and Town Area","New England City and TownCombined Statistical Area","New England City and Town AreaDivision","Urban Area","Urban Area Central Place","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","Voting District","ZIP Code Tabulation Area (3-digit)","5-digit ZIP Code Tabulation Area","Subminor Civil Division (FIPS)","State-School District (Elementary)","State-School District (Secondary)","State-School District (Unified)","Urban/Rural","Principal City Indicator","Traffic Analysis Zone","Urban Growth Area","Public Use Microdata Area – 5%File","Public Use Microdata Area - 1% File","Geographic Identifier","Area Name","Tribal Tract","Tribal Block Group","Place (State FIPS + Place FIPS)","Median Age:","Median Age: Male Population","Median Age: Female Population","Median Household Income (In 2021 Inflation Adjusted Dollars)","Total Population","Total Population","Population Density (Per Sq. Mile)","Area (Land)"
Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A01004_001,SE_A01004_002,SE_A01004_003,SE_A14006_001,SE_A00001_001,SE_A00002_001,SE_A00002_002,SE_A00002_003
"55001950100","Census Tract 9501, Adams County, Wisconsin","ACSSF","wi","140","00","0004177",,,,,"55","001",,,"950100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US55001950100","Census Tract 9501",,,,62.3,64.4,60.6,79716,3214,3214,35.58092,90.3293019118235
"55001950201","Census Tract 9502.01, Adams County, Wisconsin","ACSSF","wi","140","00","0004178",,,,,"55","001",,,"950201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US55001950201","Census Tract 9502.01",,,,57.1,60.2,54.3,46375,1258,1258,29.75806,42.2742591857568
"55001950203","Census Tract 9502.03, Adams County, Wisconsin","ACSSF","wi","140","00","0004179",,,,,"55","001",,,"950203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US55001950203","Census Tract 9502.03",,,,52.3,54.3,50.4,44306,929,929,21.04116,44.15154973691
"55001950204","Census Tract 9502.04, Adams County, Wisconsin","ACSSF","wi","140","00","0004180",,,,,"55","001",,,"950204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US55001950204","Census Tract 9502.04",,,,57.6,57.4,58,41250,1771,1771,12.97414,136.502352906654
"55001950400","Census Tract 9504, Adams County, Wisconsin","ACSSF","wi","140","00","0004181",,,,,"55","001",,,"950400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US55001950400","Census Tract 9504",,,,49.9,46.6,54.6,43689,4616,4616,50.6063,91.2139330375276
"55001950501","Census Tract 9505.01, Adams County, Wisconsin","ACSSF","wi","140","00","0004182",,,,,"55","001",,,"950501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US55001950501","Census Tract 9505.01",,,,58,56.9,58.4,37031,1709,1709,38.82051,44.0231228870558
"55001950502","Census Tract 9505.02, Adams County, Wisconsin","ACSSF","wi","140","00","0004183",,,,,"55","001",,,"950502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US55001950502","Census Tract 9505.02",,,,47.5,41.9,55.9,45163,3557,3557,36.91588,96.3541885136147
"55001950700","Census Tract 9507, Adams County, Wisconsin","ACSSF","wi","140","00","0004184",,,,,"55","001",,,"950700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US55001950700","Census Tract 9507",,,,51.2,50.3,51.8,64122,3451,3451,34.23694,100.7975573632
"55003940000","Census Tract 9400, Ashland County, Wisconsin","ACSSF","wi","140","00","0004185",,,,,"55","003",,,"940000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US55003940000","Census Tract 9400",,,,38.3,38,38.5,65268,2112,2112,9.645709,218.957468528812
