Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A17005_001,SE_A17005_002,SE_A17005_003,SE_A14006_001,SE_A00001_001,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017,ACS21_5yr_B23008001,ACS21_5yr_B23008002,ACS21_5yr_B23008003,ACS21_5yr_B23008004,ACS21_5yr_B23008005,ACS21_5yr_B23008006,ACS21_5yr_B23008007,ACS21_5yr_B23008008,ACS21_5yr_B23008009,ACS21_5yr_B23008010,ACS21_5yr_B23008011,ACS21_5yr_B23008012,ACS21_5yr_B23008013,ACS21_5yr_B23008014,ACS21_5yr_B23008015,ACS21_5yr_B23008016,ACS21_5yr_B23008017,ACS21_5yr_B23008018,ACS21_5yr_B23008019,ACS21_5yr_B23008020,ACS21_5yr_B23008021,ACS21_5yr_B23008022,ACS21_5yr_B23008023,ACS21_5yr_B23008024,ACS21_5yr_B23008025,ACS21_5yr_B23008026,ACS21_5yr_B23008027,ACS21_5yr_B23008001s,ACS21_5yr_B23008002s,ACS21_5yr_B23008003s,ACS21_5yr_B23008004s,ACS21_5yr_B23008005s,ACS21_5yr_B23008006s,ACS21_5yr_B23008007s,ACS21_5yr_B23008008s,ACS21_5yr_B23008009s,ACS21_5yr_B23008010s,ACS21_5yr_B23008011s,ACS21_5yr_B23008012s,ACS21_5yr_B23008013s,ACS21_5yr_B23008014s,ACS21_5yr_B23008015s,ACS21_5yr_B23008016s,ACS21_5yr_B23008017s,ACS21_5yr_B23008018s,ACS21_5yr_B23008019s,ACS21_5yr_B23008020s,ACS21_5yr_B23008021s,ACS21_5yr_B23008022s,ACS21_5yr_B23008023s,ACS21_5yr_B23008024s,ACS21_5yr_B23008025s,ACS21_5yr_B23008026s,ACS21_5yr_B23008027s
"55001","Assembly District 1 (2018), Wisconsin","ACSSF","wi","620","00","0013051",,,,,"55",,,,,,,,,,,,,,,,,,,,,,,,,"001",,,,,,,,,,,,,,"62000US55001","Assembly District 1 (2018)",,,,31486,30646,840,68866,59568,59568,56691,288,405,256,0,680,1248,59568,57748,55972,257,320,221,0,83,895,1820,719,31,85,35,0,597,353,10853,3095,2506,1849,605,52,0,589,137,129,8,452,268,184,7758,5702,4547,860,286,9,2056,818,811,7,1238,1080,158,147.8788,84.84849,81.21212,71.51515,56.36364,11.51515,11.51515,53.33333,23.63636,23.0303,5.454545,51.51515,51.51515,11.51515,115.1515,121.2121,126.6667,113.9394,11.51515,11.51515,94.54546,31.51515,29.09091,9.69697,95.75758,74.54546,43.63636
"55002","Assembly District 2 (2018), Wisconsin","ACSSF","wi","620","00","0013052",,,,,"55",,,,,,,,,,,,,,,,,,,,,,,,,"002",,,,,,,,,,,,,,"62000US55002","Assembly District 2 (2018)",,,,33305,32764,541,73405,61267,61267,56451,498,394,1508,69,611,1736,61267,59629,55814,490,394,1472,62,69,1328,1638,637,8,0,36,7,542,408,13443,4186,3363,2206,1094,51,12,823,353,353,0,470,394,76,9257,7271,5485,1521,183,82,1986,660,654,6,1326,1167,159,291.5151,185.4545,161.8182,149.0909,60,11.51515,11.51515,67.27273,33.93939,33.93939,11.51515,54.54546,50.30303,16.9697,192.1212,180.6061,153.3333,96.36364,11.51515,11.51515,80.60606,30.30303,26.66667,14.54545,72.72727,72.72727,11.51515
"55003","Assembly District 3 (2018), Wisconsin","ACSSF","wi","620","00","0013053",,,,,"55",,,,,,,,,,,,,,,,,,,,,,,,,"003",,,,,,,,,,,,,,"62000US55003","Assembly District 3 (2018)",,,,34783,33632,1151,79806,61813,61813,56930,391,139,1678,1,730,1944,61813,59125,55570,391,129,1678,1,191,1165,2688,1360,0,10,0,0,539,779,14558,4240,3651,2705,887,37,22,589,222,222,0,367,285,82,10318,8130,6666,1214,179,71,2188,736,601,135,1452,1317,135,153.3333,64.24242,58.78788,57.57576,21.81818,10.30303,10.30303,49.09091,36.9697,36.9697,10.30303,41.21212,38.18182,16.36364,137.5758,140,120,90.30303,27.87879,15.15152,63.63636,26.06061,26.06061,10.30303,58.78788,58.78788,10.30303
"55004","Assembly District 4 (2018), Wisconsin","ACSSF","wi","620","00","0013054",,,,,"55",,,,,,,,,,,,,,,,,,,,,,,,,"004",,,,,,,,,,,,,,"62000US55004","Assembly District 4 (2018)",,,,30458,29575,883,71524,58188,58188,48775,1662,2168,1546,0,1391,2646,58188,54619,47786,1653,1886,1519,0,138,1637,3569,989,9,282,27,0,1253,1009,11324,3382,2171,1430,664,77,0,1211,407,407,0,804,729,75,7942,5570,4116,1119,303,32,2372,753,622,131,1619,1451,168,198.1818,144.8485,146.6667,124.8485,48.48485,32.12121,10.30303,92.72727,16.36364,16.36364,10.30303,92.12122,34.54546,84.84849,153.9394,141.8182,133.9394,101.8182,35.15152,10.30303,70.90909,61.21212,61.21212,10.30303,47.27273,47.27273,10.30303
"55005","Assembly District 5 (2018), Wisconsin","ACSSF","wi","620","00","0013055",,,,,"55",,,,,,,,,,,,,,,,,,,,,,,,,"005",,,,,,,,,,,,,,"62000US55005","Assembly District 5 (2018)",,,,38154,37455,699,79506,67889,67889,60097,285,2789,786,0,1065,2867,67889,65751,59221,264,2579,786,0,540,2361,2138,876,21,210,0,0,525,506,15485,5021,4038,2723,1286,29,0,983,346,346,0,637,580,57,10464,8316,6703,1370,205,38,2148,769,664,105,1379,1179,200,272.1212,164.2424,149.0909,115.1515,111.5152,32.72727,11.51515,112.7273,36.9697,36.9697,11.51515,101.8182,100,37.57576,238.1818,247.2727,231.5152,84.24242,36.9697,27.87879,124.8485,32.12121,32.12121,11.51515,123.6364,122.4242,16.9697
"55006","Assembly District 6 (2018), Wisconsin","ACSSF","wi","620","00","0013056",,,,,"55",,,,,,,,,,,,,,,,,,,,,,,,,"006",,,,,,,,,,,,,,"62000US55006","Assembly District 6 (2018)",,,,29545,28715,830,62803,57177,57177,51030,275,2830,379,15,409,2239,57177,55320,50214,267,2571,365,15,57,1831,1857,816,8,259,14,0,352,408,11999,3990,2755,1835,908,6,6,1235,420,412,8,815,752,63,8009,5691,4342,1011,314,24,2318,794,609,185,1524,1401,123,269.0909,103.6364,81.21212,71.51515,11.51515,26.66667,10.30303,63.0303,18.18182,18.18182,10.30303,61.21212,35.15152,52.12121,238.7879,161.2121,160.6061,26.06061,24.24242,10.30303,200,84.84849,85.45454,16.9697,176.3636,180.6061,33.33333
"55007","Assembly District 7 (2018), Wisconsin","ACSSF","wi","620","00","0013057",,,,,"55",,,,,,,,,,,,,,,,,,,,,,,,,"007",,,,,,,,,,,,,,"62000US55007","Assembly District 7 (2018)",,,,31562,30152,1410,56655,58842,58842,40457,4348,409,2565,58,5331,5674,58842,42976,33781,3822,322,2482,25,100,2444,15866,6676,526,87,83,33,5231,3230,12963,4648,2352,1385,795,172,0,2296,671,642,29,1625,1356,269,8315,5478,3543,1388,247,300,2837,716,667,49,2121,1868,253,367.2727,120,113.9394,48.48485,104.8485,27.27273,11.51515,67.87878,26.06061,26.06061,11.51515,64.84849,52.72727,35.75758,314.5454,326.0606,294.5454,232.1212,47.27273,11.51515,140,69.09091,69.09091,11.51515,116.9697,118.7879,25.45455
"55008","Assembly District 8 (2018), Wisconsin","ACSSF","wi","620","00","0013058",,,,,"55",,,,,,,,,,,,,,,,,,,,,,,,,"008",,,,,,,,,,,,,,"62000US55008","Assembly District 8 (2018)",,,,22050,20351,1699,35517,51700,51700,19248,4538,708,1266,5,16838,9097,51700,14367,7716,4202,411,1266,5,65,702,37333,11532,336,297,0,0,16773,8395,16882,5156,2400,997,1157,138,108,2756,163,124,39,2593,1791,802,11726,5462,2174,2557,424,307,6264,780,676,104,5484,4223,1261,214.5455,118.1818,110.303,75.75758,82.42424,10.30303,10.30303,59.39394,10.30303,10.30303,10.30303,59.39394,59.39394,10.30303,153.3333,110.303,101.8182,40.60606,10.30303,10.30303,104.8485,13.93939,13.93939,10.30303,103.0303,103.0303,10.30303
"55009","Assembly District 9 (2018), Wisconsin","ACSSF","wi","620","00","0013059",,,,,"55",,,,,,,,,,,,,,,,,,,,,,,,,"009",,,,,,,,,,,,,,"62000US55009","Assembly District 9 (2018)",,,,27799,26438,1361,45201,57781,57781,28049,4023,695,3238,0,12411,9365,57781,23607,15173,3441,344,3238,0,119,1292,34174,12876,582,351,0,0,12292,8073,16614,5104,3043,1611,1146,184,102,2061,576,559,17,1485,1325,160,11510,6955,3709,2500,328,418,4555,976,948,28,3579,3039,540,225.4545,101.8182,101.2121,50.30303,93.93939,10.30303,10.30303,3.636364,10.30303,10.30303,10.30303,3.636364,3.636364,10.30303,153.9394,150.9091,119.3939,116.9697,10.30303,10.30303,38.78788,10.30303,10.30303,10.30303,38.78788,38.18182,3.030303
"55010","Assembly District 10 (2018), Wisconsin","ACSSF","wi","620","00","0013060",,,,,"55",,,,,,,,,,,,,,,,,,,,,,,,,"010",,,,,,,,,,,,,,"62000US55010","Assembly District 10 (2018)",,,,25249,23238,2011,40808,52731,52731,16021,32015,149,1043,0,1397,2106,52731,50403,15292,31869,115,1034,0,473,1620,2328,729,146,34,9,0,924,486,13058,4173,1272,782,331,149,10,2901,588,542,46,2313,1973,340,8885,2498,1855,493,150,0,6387,1096,918,178,5291,4461,830,130.9091,70.30303,72.72727,55.75758,65.45454,10.30303,10.30303,65.45454,18.18182,15.15152,10.30303,64.24242,67.27273,56.9697,116.9697,110.303,77.57576,108.4848,10.30303,10.30303,132.1212,67.87878,52.12121,42.42424,126.0606,126.0606,10.30303
