"FIPS","Qualifying Name","File identification","State Postal Abbreviation","Summary Level","Geographic Component","Logical Record Number","US","Census Region","Census Division","State (Census Code)","State (FIPS Code)","County of current residence","County Subdivision (FIPS)","Place (FIPS Code)","Census Tract","Block Group","Consolidated City","American Indian Area/AlaskaNative Area/ Hawaiian Home Land(Census)","American Indian Area/AlaskaNative Area/ Hawaiian Home Land(FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian TribalSubdivision (Census)","American Indian TribalSubdivision (FIPS)","Alaska Native RegionalCorporation (FIPS)","Metropolitan and MicropolitanStatistical Area","Combined Statistical Area","Metropolitan Statistical Area-Metropolitan Division","Metropolitan Area Central City","Metropolitan/MicropolitanIndicator Flag","New England City and Town Area","New England City and TownCombined Statistical Area","New England City and Town AreaDivision","Urban Area","Urban Area Central Place","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","Voting District","ZIP Code Tabulation Area (3-digit)","5-digit ZIP Code Tabulation Area","Subminor Civil Division (FIPS)","State-School District (Elementary)","State-School District (Secondary)","State-School District (Unified)","Urban/Rural","Principal City Indicator","Traffic Analysis Zone","Urban Growth Area","Public Use Microdata Area – 5%File","Public Use Microdata Area - 1% File","Geographic Identifier","Area Name","Tribal Tract","Tribal Block Group","Place (State FIPS + Place FIPS)","Civilian Population in Labor Force 16 Years and Over:","Civilian Population in Labor Force 16 Years and Over: Employed","Civilian Population in Labor Force 16 Years and Over: Unemployed","Total Population","Total Population: Not Hispanic or Latino","Total Population: Not Hispanic or Latino: White Alone","Total Population: Not Hispanic or Latino: Black or African American Alone","Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone","Total Population: Not Hispanic or Latino: Asian Alone","Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone","Total Population: Not Hispanic or Latino: Some Other Race Alone","Total Population: Not Hispanic or Latino: Two or More Races","Total Population: Hispanic or Latino","Total Population: Hispanic or Latino: White Alone","Total Population: Hispanic or Latino: Black or African American Alone","Total Population: Hispanic or Latino: American Indian and Alaska Native Alone","Total Population: Hispanic or Latino: Asian Alone","Total Population: Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone","Total Population: Hispanic or Latino: Some Other Race Alone","Total Population: Hispanic or Latino: Two or More Races","Median Household Income (In 2021 Inflation Adjusted Dollars)","Population 25 Years and Over:","Population 25 Years and Over: Less than High School","Population 25 Years and Over: High School Graduate or More (Includes Equivalency)","Population 25 Years and Over: Some College or More","Population 25 Years and Over: Bachelor's Degree or More","Population 25 Years and Over: Master's Degree or More","Population 25 Years and Over: Professional School Degree or More","Population 25 Years and Over: Doctorate Degree","Total Population","Total","Total: Under 6 Years","Total: Under 6 Years: Living With Two Parents","Total: Under 6 Years: Living With Two Parents: Both Parents In Labor Force","Total: Under 6 Years: Living With Two Parents: Father Only In Labor Force","Total: Under 6 Years: Living With Two Parents: Mother Only In Labor Force","Total: Under 6 Years: Living With Two Parents: Neither Parent In Labor Force","Total:  Living With One Parent","Total:  Living With One Parent: Living With Father","Total:  Living With One Parent: Living With Father: In Labor Force","Total:  Living With One Parent: Living With Father: Not In Labor Force","Total:   Living With Mother","Total:   Living With Mother: In Labor Force","Total:   Living With Mother: Not In Labor Force","Total: 6 To 17 Years","Total: 6 To 17 Years: Living With Two Parents","Total: 6 To 17 Years: Living With Two Parents: Both Parents In Labor Force","Total: 6 To 17 Years: Living With Two Parents: Father Only In Labor Force","Total: 6 To 17 Years: Living With Two Parents: Mother Only In Labor Force","Total: 6 To 17 Years: Living With Two Parents: Neither Parent In Labor Force","Total:  Living With One Parent","Total:  Living With One Parent: Living With Father","Total:  Living With One Parent: Living With Father: In Labor Force","Total:  Living With One Parent: Living With Father: Not In Labor Force","Total:   Living With Mother","Total:   Living With Mother: In Labor Force","Total:   Living With Mother: Not In Labor Force","Std. Error: Total","Std. Error: Total: Under 6 Years","Std. Error: Total: Under 6 Years: Living With Two Parents","Std. Error: Total: Under 6 Years: Living With Two Parents: Both Parents In Labor Force","Std. Error: Total: Under 6 Years: Living With Two Parents: Father Only In Labor Force","Std. Error: Total: Under 6 Years: Living With Two Parents: Mother Only In Labor Force","Std. Error: Total: Under 6 Years: Living With Two Parents: Neither Parent In Labor Force","Std. Error: Total:  Living With One Parent","Std. Error: Total:  Living With One Parent: Living With Father","Std. Error: Total:  Living With One Parent: Living With Father: In Labor Force","Std. Error: Total:  Living With One Parent: Living With Father: Not In Labor Force","Std. Error: Total:   Living With Mother","Std. Error: Total:   Living With Mother: In Labor Force","Std. Error: Total:   Living With Mother: Not In Labor Force","Std. Error: Total: 6 To 17 Years","Std. Error: Total: 6 To 17 Years: Living With Two Parents","Std. Error: Total: 6 To 17 Years: Living With Two Parents: Both Parents In Labor Force","Std. Error: Total: 6 To 17 Years: Living With Two Parents: Father Only In Labor Force","Std. Error: Total: 6 To 17 Years: Living With Two Parents: Mother Only In Labor Force","Std. Error: Total: 6 To 17 Years: Living With Two Parents: Neither Parent In Labor Force","Std. Error: Total:  Living With One Parent","Std. Error: Total:  Living With One Parent: Living With Father","Std. Error: Total:  Living With One Parent: Living With Father: In Labor Force","Std. Error: Total:  Living With One Parent: Living With Father: Not In Labor Force","Std. Error: Total:   Living With Mother","Std. Error: Total:   Living With Mother: In Labor Force","Std. Error: Total:   Living With Mother: Not In Labor Force"
Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A17005_001,SE_A17005_002,SE_A17005_003,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017,SE_A14006_001,SE_A12001_001,SE_A12001_002,SE_A12001_003,SE_A12001_004,SE_A12001_005,SE_A12001_006,SE_A12001_007,SE_A12001_008,SE_A00001_001,ACS21_5yr_B23008001,ACS21_5yr_B23008002,ACS21_5yr_B23008003,ACS21_5yr_B23008004,ACS21_5yr_B23008005,ACS21_5yr_B23008006,ACS21_5yr_B23008007,ACS21_5yr_B23008008,ACS21_5yr_B23008009,ACS21_5yr_B23008010,ACS21_5yr_B23008011,ACS21_5yr_B23008012,ACS21_5yr_B23008013,ACS21_5yr_B23008014,ACS21_5yr_B23008015,ACS21_5yr_B23008016,ACS21_5yr_B23008017,ACS21_5yr_B23008018,ACS21_5yr_B23008019,ACS21_5yr_B23008020,ACS21_5yr_B23008021,ACS21_5yr_B23008022,ACS21_5yr_B23008023,ACS21_5yr_B23008024,ACS21_5yr_B23008025,ACS21_5yr_B23008026,ACS21_5yr_B23008027,ACS21_5yr_B23008001s,ACS21_5yr_B23008002s,ACS21_5yr_B23008003s,ACS21_5yr_B23008004s,ACS21_5yr_B23008005s,ACS21_5yr_B23008006s,ACS21_5yr_B23008007s,ACS21_5yr_B23008008s,ACS21_5yr_B23008009s,ACS21_5yr_B23008010s,ACS21_5yr_B23008011s,ACS21_5yr_B23008012s,ACS21_5yr_B23008013s,ACS21_5yr_B23008014s,ACS21_5yr_B23008015s,ACS21_5yr_B23008016s,ACS21_5yr_B23008017s,ACS21_5yr_B23008018s,ACS21_5yr_B23008019s,ACS21_5yr_B23008020s,ACS21_5yr_B23008021s,ACS21_5yr_B23008022s,ACS21_5yr_B23008023s,ACS21_5yr_B23008024s,ACS21_5yr_B23008025s,ACS21_5yr_B23008026s,ACS21_5yr_B23008027s
"55001","Adams County, Wisconsin","ACSSF","wi","050","00","0000013",,,,,"55","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US55001","Adams County",,,,8366,7893,473,20505,19605,18216,516,141,153,3,110,466,900,513,0,25,0,0,166,196,51878,16444,1997,14447,7664,2475,611,166,88,20505,2700,728,509,333,116,58,2,219,81,69,12,138,64,74,1972,1365,979,292,60,34,607,204,189,15,403,332,71,63.63636,64.84849,88.48485,75.75758,52.72727,14.54545,10.30303,72.12122,40,39.39394,7.272727,66.06061,56.9697,68.48485,78.18182,134.5455,136.9697,64.24242,66.66666,5.454545,118.1818,80,80,10.30303,101.2121,96.9697,47.87879
"55003","Ashland County, Wisconsin","ACSSF","wi","050","00","0000014",,,,,"55","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US55003","Ashland County",,,,8137,7692,445,16002,15478,13099,150,1545,105,3,10,566,524,250,2,154,3,0,46,69,55070,11004,685,10319,6177,2097,684,166,55,16002,3239,956,529,295,224,8,2,427,57,38,19,370,306,64,2283,1557,1110,393,33,21,726,164,143,21,562,466,96,91.51515,114.5455,140.6061,133.3333,87.87878,12.72727,12.12121,119.3939,52.72727,37.57576,30.90909,107.2727,96.9697,35.75758,141.8182,167.2727,189.697,148.4848,46.66667,19.39394,210.9091,123.0303,110.9091,40.60606,177.5758,147.2727,115.7576
"55005","Barron County, Wisconsin","ACSSF","wi","050","00","0000015",,,,,"55","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US55005","Barron County",,,,23214,22544,670,46529,45230,42904,764,301,306,0,107,848,1299,500,58,33,7,0,625,76,55256,33059,3133,29926,18129,6808,2186,857,310,46529,9633,2908,1731,1088,494,102,47,1177,294,294,0,883,829,54,6725,4447,3309,795,272,71,2278,605,560,45,1673,1509,164,42.42424,74.54546,94.54546,116.9697,91.51515,67.87878,12.72727,62.42424,30.90909,27.27273,12.12121,58.78788,58.18182,15.15152,87.27273,153.9394,189.697,135.1515,49.69697,19.39394,139.3939,111.5152,112.1212,12.72727,97.57576,90.90909,49.09091
"55007","Bayfield County, Wisconsin","ACSSF","wi","050","00","0000016",,,,,"55","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US55007","Bayfield County",,,,7589,7292,297,16031,15639,13436,152,1411,76,0,14,550,392,188,42,34,0,0,50,78,62859,12314,563,11751,8392,4128,1530,422,159,16031,2617,881,635,397,167,60,11,246,78,66,12,168,138,30,1736,1217,725,262,191,39,519,146,108,38,373,311,62,176.9697,180.6061,211.5152,238.1818,167.8788,61.81818,18.18182,161.2121,112.1212,112.1212,13.33333,143.0303,133.3333,64.24242,184.2424,322.4243,350.303,171.5152,70.90909,46.06061,316.3636,272.1212,270.9091,32.72727,233.9394,219.3939,99.39394
"55009","Brown County, Wisconsin","ACSSF","wi","050","00","0000017",,,,,"55","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US55009","Brown County",,,,145134,140852,4282,267364,242495,211897,6892,4903,8502,40,752,9509,24869,8788,184,643,164,17,8708,6365,68799,179330,13669,165661,113259,56999,17133,4660,1773,267364,61325,19572,13517,9034,4150,246,87,6055,2008,1898,110,4047,3431,616,41753,28814,22304,5417,924,169,12939,4238,4022,216,8701,6962,1739,27.87879,12.12121,15.15152,15.15152,18.18182,6.060606,5.454545,16.9697,9.090909,9.090909,5.454545,12.12121,11.51515,3.030303,25.45455,35.75758,40,23.0303,3.636364,9.090909,43.0303,37.57576,37.57576,5.454545,23.0303,15.15152,16.36364
"55011","Buffalo County, Wisconsin","ACSSF","wi","050","00","0000018",,,,,"55","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US55011","Buffalo County",,,,7139,6993,146,13314,12979,12643,98,26,4,0,0,208,335,146,0,6,1,0,150,32,61167,9713,820,8893,5060,1906,529,109,30,13314,2606,801,589,448,126,7,8,212,56,54,2,156,130,26,1805,1388,1139,200,34,15,417,195,180,15,222,198,24,173.9394,139.3939,255.7576,281.8182,133.9394,43.63636,13.33333,224.8485,135.1515,135.1515,11.51515,253.9394,247.8788,107.2727,175.1515,351.5151,384.2424,266.6667,87.27273,7.272727,337.5757,207.8788,175.7576,96.36364,316.3636,316.3636,70.90909
"55013","Burnett County, Wisconsin","ACSSF","wi","050","00","0000019",,,,,"55","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US55013","Burnett County",,,,7099,6715,384,16356,16013,14743,116,509,72,4,4,565,343,228,0,41,0,0,28,46,55890,12586,922,11664,6881,2703,865,200,58,16356,2641,763,442,353,73,16,0,321,109,94,15,212,181,31,1878,1222,926,184,85,27,656,220,167,53,436,412,24,26.66667,24.84848,33.33333,30.90909,26.66667,9.090909,3.030303,21.81818,15.75758,15.75758,1.818182,24.84848,19.39394,23.0303,27.27273,52.12121,43.0303,37.57576,24.24242,1.818182,52.12121,38.18182,36.9697,9.090909,43.0303,40.60606,16.36364
"55015","Calumet County, Wisconsin","ACSSF","wi","050","00","0000020",,,,,"55","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US55015","Calumet County",,,,29560,28887,673,52128,49723,46862,445,206,1266,1,90,853,2405,1264,0,10,0,0,349,782,78453,35997,1876,34121,22732,10884,3061,655,285,52128,11983,3293,2714,2019,624,39,32,579,219,219,0,360,265,95,8690,6851,5856,619,248,128,1839,618,452,166,1221,1042,179,56.9697,70.90909,86.06061,101.8182,73.93939,33.93939,36.9697,77.57576,52.12121,52.12121,3.030303,66.66666,61.21212,36.36364,78.18182,163.6364,182.4242,109.0909,44.84848,90.90909,163.6364,78.18182,76.9697,9.090909,159.3939,158.1818,26.06061
"55017","Chippewa County, Wisconsin","ACSSF","wi","050","00","0000021",,,,,"55","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US55017","Chippewa County",,,,33661,32728,933,65877,64617,61144,1007,205,927,1,58,1275,1260,813,19,1,0,0,155,272,63172,46709,3401,43308,27578,10924,3094,854,327,65877,13961,4097,3079,2035,767,211,66,1018,252,245,7,766,656,110,9864,7210,5675,1118,321,96,2654,989,928,61,1665,1381,284,80,86.66666,96.9697,87.27273,61.21212,30.30303,11.51515,80,56.9697,56.9697,12.12121,71.51515,72.12122,20,84.24242,146.0606,136.3636,83.63636,31.51515,28.48485,153.3333,92.72727,91.51515,8.484848,128.4848,129.697,20.60606
