ID,ADDRESS,CITY,ZIP,Longitude,Latitude,Match Score,Provider Number,Location Number,geometry,ASM2021,SEN2021,NAMELSAD,SENATE_DISTRICT2021,SENATE_DISTRICT,CONGRESSIONAL_DISTRICT,GEOID
3,N23044 Senn Ln                               ,Ettrick        ,54627-7977,-91.244264147824,44.172411176456,100.0,0000555670,004,POINT (-91.244264147824 44.172411176456),92,31,Trempealeau County,31,31.0,3,55121100800
4,215 W 29th St                               ,Marshfield     ,54449-5220,-90.184133774687,44.641263407954,100.0,0000555700,001,POINT (-90.184133774687 44.641263407954),69,23,Wood County,23,23.0,7,55141010500
5,7126 Bethel Rd                               ,Arpin          ,54410-9591,-90.089974743355,44.505053290401,100.0,0000555710,001,POINT (-90.089974743355 44.505053290401),70,24,Wood County,24,24.0,7,55141010800
6,2148 Ferry St                               ,La Crosse      ,54601-5042,-91.223251387115,43.805686903096,100.0,0000555710,002,POINT (-91.223251387115 43.805686903096),95,32,La Crosse County,32,32.0,3,55063000700
7,6576 N 55th St                               ,Milwaukee      ,53223-5908,-87.980722369617,43.137505596102,100.0,0000555710,003,POINT (-87.980722369617 43.137505596102),11,4,Milwaukee County,04,4.0,4,55079000800
8,27485 Crestview Dr                               ,Richland Ctr   ,53581-4011,-90.389321004222,43.300155211846,100.0,0000555710,004,POINT (-90.389321004222 43.300155211846),50,17,Richland County,17,17.0,3,55103970500
9,1233 Carlisle Ave                               ,Racine         ,53404-2969,-87.803092574609,42.736496991821,100.0,0000555710,007,POINT (-87.803092574609 42.736496991821),66,22,Racine County,22,22.0,1,55101001202
10,2501 Post Rd                               ,Fitchburg      ,53713-3504,-89.421160225487,43.026539968805,100.0,0000555710,009,POINT (-89.421160225487 43.026539968805),47,16,Dane County,16,16.0,2,55025001404
11,4818 Milwaukee St                               ,Madison        ,53714-2139,-89.298873706394,43.098918499006,100.0,0000555710,011,POINT (-89.298873706394 43.098918499006),48,16,Dane County,16,16.0,2,55025003002
12,W14973 Sjuggerud Coulee Rd                               ,Whitehall      ,54773-8818,-91.245469214043,44.378417946574,100.0,0000555710,013,POINT (-91.245469214043 44.378417946574),92,31,Trempealeau County,31,31.0,3,55121100400
13,4929 N 20th St                               ,Milwaukee      ,53209-5712,-87.936935055972,43.107253044428,100.0,0000555710,014,POINT (-87.936935055972 43.107253044428),11,4,Milwaukee County,04,4.0,4,55079002300
14,4678 N 56th St                               ,Milwaukee      ,53218-5026,-87.982386764131,43.102566345177,100.0,0000555710,015,POINT (-87.982386764131 43.102566345177),17,6,Milwaukee County,06,6.0,4,55079003100
15,2504 20th St                               ,Racine         ,53403-2423,-87.808565454468,42.706115023562,100.0,0000555710,016,POINT (-87.808565454468 42.706115023562),66,22,Racine County,22,22.0,1,55101000700
16,5119 N 51st Blvd                               ,Milwaukee      ,53218-4332,-87.97634525596,43.110671813186,100.0,0000555710,018,POINT (-87.97634525596 43.110671813186),11,4,Milwaukee County,04,4.0,4,55079002900
17,5811 Sunset Blvd                               ,Mt Pleasant    ,53406-4619,-87.850312361424,42.709837384852,100.0,0000555710,019,POINT (-87.850312361424 42.709837384852),63,21,Racine County,21,21.0,1,55101001701
18,2145 Terrebonne Dr                               ,Kronenwetter   ,54455-8852,-89.624634026375,44.846324825122,100.0,0000555710,020,POINT (-89.624634026375 44.846324825122),86,29,Marathon County,29,29.0,7,55073001203
19,2111 15th Pl                               ,La Crosse      ,54601-6486,-91.233359291792,43.790165630071,99.43,0000555710,021,POINT (-91.233359291792 43.790165630071),95,32,La Crosse County,32,32.0,3,55063001000
20,922 S 11th Ave                               ,Wausau         ,54401-5963,-89.649303811439,44.950918403897,100.0,0000555710,022,POINT (-89.649303811439 44.950918403897),85,29,Marathon County,29,29.0,7,55073000601
21,6004 Driscoll Dr                               ,Madison        ,53718-3041,-89.279452250004,43.098546091047,100.0,0000555710,023,POINT (-89.279452250004 43.098546091047),48,16,Dane County,16,16.0,2,55025011406
22,105 Kennedy Hts                               ,Madison        ,53704-1618,-89.386317492177,43.139780318895,100.0,0000555710,024,POINT (-89.386317492177 43.139780318895),48,16,Dane County,16,16.0,2,55025002301
23,3648 N 16th St                               ,Milwaukee      ,53206-2306,-87.930845938591,43.084589677437,100.0,0000555710,025,POINT (-87.930845938591 43.084589677437),10,4,Milwaukee County,04,4.0,4,55079004600
24,4722 N 68th St                               ,Milwaukee      ,53218-4826,-87.996758291496,43.103511614308,100.0,0000555710,031,POINT (-87.996758291496 43.103511614308),17,6,Milwaukee County,06,6.0,4,55079003200
25,2113 Mole Ave                               ,Janesville     ,53548-1436,-89.046295280124,42.696936504309,100.0,0000555710,033,POINT (-89.046295280124 42.696936504309),44,15,Rock County,15,15.0,1,55105000500
26,2133 N 36th St                               ,Milwaukee      ,53208-1406,-87.958768740277,43.058229555869,100.0,0000555710,038,POINT (-87.958768740277 43.058229555869),18,6,Milwaukee County,06,6.0,4,55079009000
27,8530 S Whitney Dr                               ,Oak Creek      ,53154-2627,-87.9422461651,42.890296114092,100.0,0000555770,001,POINT (-87.9422461651 42.890296114092),21,7,Milwaukee County,07,7.0,1,55079160203
28,4751 N 48th St                               ,Milwaukee      ,53218-5122,-87.973193911823,43.103713157169,100.0,0000555770,002,POINT (-87.973193911823 43.103713157169),17,6,Milwaukee County,06,6.0,4,55079002700
29,4235 W Fairmount Ave                               ,Milwaukee      ,53209-5226,-87.96611204183,43.10826050728,100.0,0000555770,006,POINT (-87.96611204183 43.10826050728),11,4,Milwaukee County,04,4.0,4,55079002500
30,2029 W Galena St                               ,Milwaukee      ,53205-1510,-87.939083002479,43.05135421597,100.0,0000555770,007,POINT (-87.939083002479 43.05135421597),16,6,Milwaukee County,06,6.0,4,55079186100
31,1840 Peach St                               ,Wisc Rapids    ,54494-5167,-89.80344919013,44.387384487496,100.0,0000555770,008,POINT (-89.80344919013 44.387384487496),72,24,Wood County,24,24.0,7,55141011400
32,915 15th St                               ,La Crosse      ,54601-4853,-91.234326647238,43.802112817672,99.43,0000555770,010,POINT (-91.234326647238 43.802112817672),95,32,La Crosse County,32,32.0,3,55063000800
33,8141 W Denver Ave                               ,Milwaukee      ,53223-4945,-88.012890353805,43.143199548658,100.0,0000555770,011,POINT (-88.012890353805 43.143199548658),11,4,Milwaukee County,04,4.0,4,55079000304
34,2936 N 27th St                               ,Milwaukee      ,53210-2011,-87.947263656159,43.072415172622,100.0,0000555770,012,POINT (-87.947263656159 43.072415172622),16,6,Milwaukee County,06,6.0,4,55079006400
35,2102 Red Arrow Trl                               ,Fitchburg      ,53711-4659,-89.456540574067,43.030829617302,100.0,0000555770,013,POINT (-89.456540574067 43.030829617302),47,16,Dane County,16,16.0,2,55025000600
36,5343 N 37th St                               ,Milwaukee      ,53209-4729,-87.958808889593,43.114738796425,100.0,0000555770,014,POINT (-87.958808889593 43.114738796425),11,4,Milwaukee County,04,4.0,4,55079002100
37,5729 N 56th St                               ,Milwaukee      ,53218-2414,-87.982722291715,43.122116212324,100.0,0000555770,016,POINT (-87.982722291715 43.122116212324),11,4,Milwaukee County,04,4.0,4,55079001200
38,8814 W Monrovia Ave                               ,Milwaukee      ,53225-1816,-88.022134922455,43.131392967483,100.0,0000555770,026,POINT (-88.022134922455 43.131392967483),12,4,Milwaukee County,04,4.0,4,55079001400
39,6524 N 73rd St                               ,Milwaukee      ,53223-6122,-88.002127235756,43.136391683079,100.0,0000555770,028,POINT (-88.002127235756 43.136391683079),11,4,Milwaukee County,04,4.0,4,55079000600
40,11860 W Flagg Ave                               ,Milwaukee      ,53225-2226,-88.06022614616,43.123699763382,100.0,0000555890,002,POINT (-88.06022614616 43.123699763382),12,4,Milwaukee County,04,4.0,4,55079000501
41,3523 N 76th St                               ,Milwaukee      ,53222-3007,-88.007434153933,43.083205070851,100.0,0000556110,001,POINT (-88.007434153933 43.083205070851),17,6,Milwaukee County,06,6.0,4,55079005200
42,N8619 Hanson Dr                               ,Holmen         ,54636-9200,-91.298374110506,44.032008682393,100.0,0000556260,001,POINT (-91.298374110506 44.032008682393),94,32,La Crosse County,32,32.0,3,55063010202
43,9898 N County Road K                               ,Auburndale     ,54412-9706,-89.98477012384,44.605003252907,98.53,0000556350,002,POINT (-89.98477012384 44.605003252907),86,29,Wood County,29,29.0,7,55141010100
44,6683 Fairway Cir                               ,Windsor        ,53598-9740,-89.351022555191,43.211770012608,100.0,0000556380,001,POINT (-89.351022555191 43.211770012608),79,27,Dane County,27,27.0,2,55025013202
45,8619 W Appleton Ave                               ,Milwaukee      ,53225,-88.020123433331,43.10801902465,100.0,0000556380,004,POINT (-88.020123433331 43.10801902465),12,4,Milwaukee County,04,4.0,4,55079001700
