ID,ADDRESS,CITY,ZIP
3,N23044 Senn Ln                               ,Ettrick        ,54627-7977
4,215 W 29th St                               ,Marshfield     ,54449-5220
5,7126 Bethel Rd                               ,Arpin          ,54410-9591
6,2148 Ferry St                               ,La Crosse      ,54601-5042
7,6576 N 55th St                               ,Milwaukee      ,53223-5908
8,27485 Crestview Dr                               ,Richland Ctr   ,53581-4011
9,1233 Carlisle Ave                               ,Racine         ,53404-2969
10,2501 Post Rd                               ,Fitchburg      ,53713-3504
11,4818 Milwaukee St                               ,Madison        ,53714-2139
12,W14973 Sjuggerud Coulee Rd                               ,Whitehall      ,54773-8818
13,4929 N 20th St                               ,Milwaukee      ,53209-5712
14,4678 N 56th St                               ,Milwaukee      ,53218-5026
15,2504 20th St                               ,Racine         ,53403-2423
16,5119 N 51st Blvd                               ,Milwaukee      ,53218-4332
17,5811 Sunset Blvd                               ,Mt Pleasant    ,53406-4619
18,2145 Terrebonne Dr                               ,Kronenwetter   ,54455-8852
19,2111 15th Pl                               ,La Crosse      ,54601-6486
20,922 S 11th Ave                               ,Wausau         ,54401-5963
21,6004 Driscoll Dr                               ,Madison        ,53718-3041
22,105 Kennedy Hts                               ,Madison        ,53704-1618
23,3648 N 16th St                               ,Milwaukee      ,53206-2306
24,4722 N 68th St                               ,Milwaukee      ,53218-4826
25,2113 Mole Ave                               ,Janesville     ,53548-1436
26,2133 N 36th St                               ,Milwaukee      ,53208-1406
27,8530 S Whitney Dr                               ,Oak Creek      ,53154-2627
28,4751 N 48th St                               ,Milwaukee      ,53218-5122
29,4235 W Fairmount Ave                               ,Milwaukee      ,53209-5226
30,2029 W Galena St                               ,Milwaukee      ,53205-1510
31,1840 Peach St                               ,Wisc Rapids    ,54494-5167
32,915 15th St                               ,La Crosse      ,54601-4853
33,8141 W Denver Ave                               ,Milwaukee      ,53223-4945
34,2936 N 27th St                               ,Milwaukee      ,53210-2011
35,2102 Red Arrow Trl                               ,Fitchburg      ,53711-4659
36,5343 N 37th St                               ,Milwaukee      ,53209-4729
37,5729 N 56th St                               ,Milwaukee      ,53218-2414
38,8814 W Monrovia Ave                               ,Milwaukee      ,53225-1816
39,6524 N 73rd St                               ,Milwaukee      ,53223-6122
40,11860 W Flagg Ave                               ,Milwaukee      ,53225-2226
41,3523 N 76th St                               ,Milwaukee      ,53222-3007
42,N8619 Hanson Dr                               ,Holmen         ,54636-9200
43,9898 N County Road K                               ,Auburndale     ,54412-9706
44,6683 Fairway Cir                               ,Windsor        ,53598-9740
45,8619 W Appleton Ave                               ,Milwaukee      ,53225
46,6653 N 42nd St                               ,Milwaukee      ,53209-3010
47,1003 6th St                               ,Ashland        ,54806-1318
48,427 North St                               ,Tomah          ,54660-1234
49,3741 N 15th St                               ,Milwaukee      ,53206-2908
50,2378 N 1st St                               ,Milwaukee      ,53212-3224
51,1544 Franklin St                               ,Onalaska       ,54650-2062
52,2046 N 25th St                               ,Milwaukee      ,53205-1008
53,1020 Starlight Ln                               ,Cottage Grove  ,53527-9137
54,637 Janick Cir                               ,Stevens Point  ,54481-2407
55,502 Saratoga Ave                               ,Osceola        ,54020-8124
56,5954 N 39th St                               ,Milwaukee      ,53209-3916
57,2917 Holborn Cir                               ,Madison        ,53718-7928
58,1740 Chase St                               ,Wisc Rapids    ,54495-3948
59,230 Superior St                               ,Antigo         ,54409-1853
60,6326 N 106th St                               ,Milwaukee      ,53225-1416
61,586 Shiner Lk                               ,Wabeno         ,54566
62,4544 N 45th St                               ,Milwaukee      ,53218-5248
63,6329 Alison Ln                               ,Madison        ,53711-2402
64,3254 N 47th St                               ,Milwaukee      ,53216-3357
65,1002 E Vienna Ave                               ,Milwaukee      ,53212-1715
66,3346 N 30th St                               ,Milwaukee      ,53216-3824
67,7400 97th Ave                               ,Kenosha        ,53142-8211
68,2911 N 28th St                               ,Milwaukee      ,53210-2017
69,7001 W Hampton Ave                               ,Milwaukee      ,53218-4811
70,5274 N 64th St                               ,Milwaukee      ,53218-3001
71,1160 Gammon Ln                               ,Madison        ,53719-2211
72,4110 N 72nd St                               ,Milwaukee      ,53216-1036
73,3325 Debra Ln                               ,Racine         ,53403-3567
74,7621 Plainview Ave                               ,Burlington     ,53105-9205
75,3449 N 15th St                               ,Milwaukee      ,53206-2336
76,5864 N 66th St                               ,Milwaukee      ,53218-1927
77,4340 W Eggert Pl                               ,Milwaukee      ,53218-4423
78,4468 N 71st St                               ,Milwaukee      ,53218-5409
79,310 Canal St                               ,Berlin         ,54923-1929
80,6860 N 40th St                               ,Milwaukee      ,53209-2225
81,2724 N 17th St                               ,Milwaukee      ,53206-2129
82,6433 W Lancaster Ave                               ,Milwaukee      ,53218-4012
83,4134 N 62nd St                               ,Milwaukee      ,53216-1235
84,3841 N 50th St                               ,Milwaukee      ,53216-2301
85,3858 N 68th St                               ,Milwaukee      ,53216-2010
86,1207 N Main St                               ,Oshkosh        ,54901-3841
87,1308 Prairie Rd                               ,Madison        ,53711-3217
88,7509 W Caldwell Ave                               ,Milwaukee      ,53218-2839
89,401 N Hume Ave                               ,Marshfield     ,54449-3934
90,7824 W Bobolink Ave                               ,Milwaukee      ,53218-1733
91,4732 N 40th St                               ,Milwaukee      ,53209-5812
92,217351 State Highway 97                               ,Stratford      ,54484-4304
93,814 S Section St                               ,Nekoosa        ,54457-1448
94,327 20th St                               ,La Crosse      ,54601-5065
95,1317 Prairie Rd                               ,Madison        ,53711-3216
96,11710 W Mill Rd                               ,Milwaukee      ,53225-1128
97,1200 Howard St                               ,Racine         ,53404-2816
98,3624 Glenn Ln                               ,Middleton      ,53562-1035
99,3035 N 52nd St                               ,Milwaukee      ,53210-1612
100,1904 Neptune Ave                               ,Racine         ,53404-2241
101,6702 East Pass Rd                               ,Madison        ,53719
102,4278 State Highway 173                               ,Nekoosa        ,54457-8402
103,5831 Cherrywood Ct                               ,Wisc Rapids    ,54494-9061
104,391 17th Ave                               ,Wisc Rapids    ,54495-2453
105,1511 Maple St                               ,Racine         ,53404-3213
106,25 Water Street                               ,Rice Lake      ,54868
107,3012 W Oriole Dr                               ,Milwaukee      ,53209-4242
108,1009 East Ave                               ,Onalaska       ,54650-2268
109,2816 Kennedy Rd                               ,Janesville     ,53545-0466
110,6538 N 66th St                               ,Milwaukee      ,53223-5708
111,7816 W Waterford Ave                               ,Milwaukee      ,53220-2267
112,503 Orion Trl                               ,Madison        ,53718-5118
113,3428 4th Ave                               ,Racine         ,53402-3730
114,3180 N 81st St                               ,Milwaukee      ,53222-3810
115,5205 Maher Ave                               ,Madison        ,53716-2823
116,2907 N 45th St                               ,Milwaukee      ,53210-1716
117,4719 N 79th St                               ,Milwaukee      ,53218-4650
118,6205 Adobe Way                               ,Madison        ,53719-4899
119,2430 W Vine St                               ,Milwaukee      ,53205-1416
120,5128 N 51st Blvd                               ,Milwaukee      ,53218-4331
121,2732 N Vel R Phillips Ave                               ,Milwaukee      ,53212-2316
122,3204 Glenhaven Pl                               ,Eau Claire     ,54703-2693
123,3711 N 25th St                               ,Milwaukee      ,53206-1332
124,4967 W Medford Ave                               ,Milwaukee      ,53216-2334
125,4641 N 28th St                               ,Milwaukee      ,53209-6136
126,3333 N 9th St                               ,Milwaukee      ,53206-2810
127,3465 N 16th St                               ,Milwaukee      ,53206-2340
